"","ID","year","LowCC","LandHa","Tave_sp","Tave_wt","PPT_wt"
"1","PAY_0001",2011,30.9474926,0,5.7,-1,183
"2","PAY_0001",2012,31.3581696,0,7.9,-0.5,157
"3","PAY_0001",2013,31.3288345,0,7.7,-0.9,158
"4","PAY_0001",2014,31.4461727,0,7.9,-1,181
"5","PAY_0001",2015,32.1795235,0,9.2,1.9,157
"6","PAY_0001",2016,30.3901443,0,9.2,0.7,180
"7","PAY_0001",2017,30.7421532,0,7.9,-2.5,222
"8","PAY_0001",2018,30.5954819,0,8.4,-0.5,184
"9","PAY_0001",2019,30.4488125,0,7.7,-1.2,215
"10","PAY_0001",2020,30.8008213,0,7.9,-0.3,191
"11","PAY_0001",2021,31.0354939,0,7.6,-0.7,193
"12","PAY_0002",2011,36.4916382,0,6.5,-0.5,142
"13","PAY_0002",2012,36.7849808,0,8.6,0.1,122
"14","PAY_0002",2013,36.432972,0,8.5,-0.4,122
"15","PAY_0002",2014,36.432972,0,8.7,-0.5,141
"16","PAY_0002",2015,36.9316521,0,10,2.4,122
"17","PAY_0002",2016,33.5288925,0,10,1.2,139
"18","PAY_0002",2017,33.4408913,0,8.7,-1.9,172
"19","PAY_0002",2018,33.1768837,0,9.2,0.1,143
"20","PAY_0002",2019,32.8248749,0,8.5,-0.7,166
"21","PAY_0002",2020,32.7368736,0,8.7,0.3,148
"22","PAY_0002",2021,32.7075386,0,8.4,-0.2,149
"23","PAY_0003",2011,20.2405396,0,3.8,-2.5,256
"24","PAY_0003",2012,20.5338802,0,5.9,-1.9,220
"25","PAY_0003",2013,20.5632153,0,5.8,-2.4,221
"26","PAY_0003",2014,20.8565559,0,6,-2.5,254
"27","PAY_0003",2015,21.3845711,0,7.3,0.4,220
"28","PAY_0003",2016,19.7418594,0,7.3,-0.7,252
"29","PAY_0003",2017,19.8591957,0,6,-3.9,311
"30","PAY_0003",2018,19.7711945,0,6.5,-1.9,258
"31","PAY_0003",2019,19.8005276,0,5.7,-2.7,297
"32","PAY_0003",2020,20.0938683,0,6,-1.7,266
"33","PAY_0003",2021,20.4752121,0,5.6,-2.1,268
"34","PAY_0004",2011,24.3179817,0,6.1,-0.8,161
"35","PAY_0004",2012,24.8459949,0,8.2,-0.2,139
"36","PAY_0004",2013,25.3153419,0,8.1,-0.7,139
"37","PAY_0004",2014,26.4593716,0,8.3,-0.8,159
"38","PAY_0004",2015,28.5420952,0,9.6,2.1,139
"39","PAY_0004",2016,32.7955399,0,9.6,1,159
"40","PAY_0004",2017,33.7635689,0,8.3,-2.2,196
"41","PAY_0004",2018,34.3502502,0,8.8,-0.2,162
"42","PAY_0004",2019,34.3209152,0,8.1,-1,190
"43","PAY_0004",2020,34.3209152,0,8.3,0,168
"44","PAY_0004",2021,34.3795853,0,8,-0.4,171
"45","PAY_0005",2011,20.2698746,0,4.1,-2.2,258
"46","PAY_0005",2012,21.0032272,0,6.3,-1.6,222
"47","PAY_0005",2013,21.2965679,0,6.1,-2.1,223
"48","PAY_0005",2014,22.0299206,0,6.3,-2.2,254
"49","PAY_0005",2015,24.024641,0,7.7,0.7,222
"50","PAY_0005",2016,29.9794655,0,7.6,-0.4,255
"51","PAY_0005",2017,32.7955399,0,6.4,-3.6,314
"52","PAY_0005",2018,33.9395714,0,6.8,-1.6,259
"53","PAY_0005",2019,34.9369316,0,6.1,-2.4,302
"54","PAY_0005",2020,35.7876205,0,6.3,-1.4,269
"55","PAY_0005",2021,36.9903183,0,6,-1.8,272
"56","PAY_0006",2011,19.8298626,0,5.1,-1.5,205
"57","PAY_0006",2012,20.0352001,0,7.3,-0.9,177
"58","PAY_0006",2013,20.0352001,0,7.1,-1.4,178
"59","PAY_0006",2014,19.9471989,0,7.3,-1.5,203
"60","PAY_0006",2015,20.5338802,0,8.7,1.4,177
"61","PAY_0006",2016,21.2965679,0,8.7,0.2,203
"62","PAY_0006",2017,22.5872688,0,7.4,-3,250
"63","PAY_0006",2018,23.1739521,0,7.8,-0.9,206
"64","PAY_0006",2019,23.6432972,0,7.1,-1.7,240
"65","PAY_0006",2020,24.3179817,0,7.3,-0.7,214
"66","PAY_0006",2021,25.5793495,0,7,-1.2,216
"67","PAY_0007",2011,12.8190088,0,3.6,-2.6,270
"68","PAY_0007",2012,13.1123495,0,5.8,-2,232
"69","PAY_0007",2013,13.2883539,0,5.6,-2.5,234
"70","PAY_0007",2014,13.4350252,0,5.8,-2.6,268
"71","PAY_0007",2015,13.8163681,0,7.2,0.3,232
"72","PAY_0007",2016,15.987093,0,7.2,-0.9,267
"73","PAY_0007",2017,16.3977699,0,5.9,-4.1,330
"74","PAY_0007",2018,16.4564381,0,6.3,-2,271
"75","PAY_0007",2019,16.3391018,0,5.6,-2.8,314
"76","PAY_0007",2020,16.3391018,0,5.9,-1.8,281
"77","PAY_0007",2021,16.5151062,0,5.5,-2.3,284
"78","PAY_0008",2011,3.1680844,0,1,-4.6,383
"79","PAY_0008",2012,3.2560868,0,3.2,-4,329
"80","PAY_0008",2013,3.2560868,0,3,-4.5,332
"81","PAY_0008",2014,3.3440893,0,3.2,-4.6,380
"82","PAY_0008",2015,3.4907598,0,4.5,-1.7,329
"83","PAY_0008",2016,4.2241125,0,4.5,-2.9,379
"84","PAY_0008",2017,4.1654444,0,3.3,-6.1,467
"85","PAY_0008",2018,4.1654444,0,3.7,-4,384
"86","PAY_0008",2019,4.0774422,0,3,-4.8,444
"87","PAY_0008",2020,4.0481081,0,3.2,-3.9,397
"88","PAY_0008",2021,4.0774422,0,2.9,-4.3,401
"89","PAY_0009",2011,22.9392776,0,6.9,-0.1,120
"90","PAY_0009",2012,23.4672928,0,9.1,0.5,104
"91","PAY_0009",2013,23.9659729,0,9,-0.1,104
"92","PAY_0009",2014,24.2593136,0,9.2,-0.1,119
"93","PAY_0009",2015,24.9339981,0,10.5,2.8,104
"94","PAY_0009",2016,24.1126423,0,10.5,1.6,118
"95","PAY_0009",2017,24.4939861,0,9.2,-1.6,147
"96","PAY_0009",2018,25.0513344,0,9.6,0.4,121
"97","PAY_0009",2019,25.3153419,0,8.9,-0.4,144
"98","PAY_0009",2020,25.2566738,0,9.2,0.6,126
"99","PAY_0009",2021,25.4033432,0,8.8,0.2,129
"100","PAY_0010",2011,28.2780876,0,6.6,-0.3,133
"101","PAY_0010",2012,28.454092,0,8.8,0.2,114
"102","PAY_0010",2013,28.7767677,0,8.7,-0.3,114
"103","PAY_0010",2014,29.2754478,0,8.9,-0.3,131
"104","PAY_0010",2015,30.1554699,0,10.2,2.6,114
"105","PAY_0010",2016,30.9474926,0,10.2,1.4,131
"106","PAY_0010",2017,31.2995014,0,8.9,-1.8,162
"107","PAY_0010",2018,31.6515102,0,9.4,0.2,133
"108","PAY_0010",2019,31.5048409,0,8.6,-0.6,158
"109","PAY_0010",2020,31.1528301,0,8.9,0.4,139
"110","PAY_0010",2021,31.3581696,0,8.5,0,141
"111","PAY_0011",2011,19.3605156,0,4.3,-2,243
"112","PAY_0011",2012,19.7125263,0,6.5,-1.4,209
"113","PAY_0011",2013,20.005867,0,6.3,-1.9,211
"114","PAY_0011",2014,20.9152241,0,6.5,-2,239
"115","PAY_0011",2015,22.3819294,0,7.9,0.9,209
"116","PAY_0011",2016,28.454092,0,7.9,-0.3,241
"117","PAY_0011",2017,29.4221172,0,6.6,-3.5,297
"118","PAY_0011",2018,29.7447929,0,7,-1.4,244
"119","PAY_0011",2019,29.5394535,0,6.3,-2.2,287
"120","PAY_0011",2020,29.4514523,0,6.5,-1.2,254
"121","PAY_0011",2021,29.5394535,0,6.2,-1.7,257
"122","PAY_0012",2011,16.8377819,0,3.2,-2.8,300
"123","PAY_0012",2012,16.9844532,0,5.4,-2.3,257
"124","PAY_0012",2013,17.0724545,0,5.2,-2.7,260
"125","PAY_0012",2014,17.5124664,0,5.4,-2.8,295
"126","PAY_0012",2015,18.8618355,0,6.8,0.1,258
"127","PAY_0012",2016,26.9580517,0,6.7,-1.1,297
"128","PAY_0012",2017,29.0994434,0,5.5,-4.3,366
"129","PAY_0012",2018,29.6274567,0,5.9,-2.3,300
"130","PAY_0012",2019,30.2141399,0,5.2,-3,351
"131","PAY_0012",2020,30.683485,0,5.4,-2.1,312
"132","PAY_0012",2021,31.9741859,0,5.1,-2.5,316
"133","PAY_0013",2011,12.0269871,0,4.2,-2.2,251
"134","PAY_0013",2012,11.8216486,0,6.3,-1.6,216
"135","PAY_0013",2013,11.8803167,0,6.2,-2.1,217
"136","PAY_0013",2014,11.8216486,0,6.4,-2.2,248
"137","PAY_0013",2015,12.437665,0,7.7,0.7,216
"138","PAY_0013",2016,14.6083899,0,7.7,-0.5,249
"139","PAY_0013",2017,15.3417425,0,6.4,-3.7,307
"140","PAY_0013",2018,15.6644173,0,6.9,-1.6,251
"141","PAY_0013",2019,15.9577589,0,6.2,-2.4,294
"142","PAY_0013",2020,16.5737762,0,6.4,-1.4,261
"143","PAY_0013",2021,17.5711346,0,6.1,-1.9,264
"144","PAY_0014",2011,8.0962162,0,3.2,-2.9,296
"145","PAY_0014",2012,8.2428865,0,5.4,-2.4,255
"146","PAY_0014",2013,8.448225,0,5.2,-2.9,257
"147","PAY_0014",2014,8.3602228,0,5.4,-2.9,293
"148","PAY_0014",2015,9.0349073,0,6.8,0,255
"149","PAY_0014",2016,12.1443243,0,6.7,-1.2,294
"150","PAY_0014",2017,12.2616606,0,5.5,-4.4,363
